ORF,Sample,coverage,subtype,type,contigs,Domain,Phylum,Class,Order,Family,Genus,Species,Sample_type,mechanism
k141_614511_3,AT3,11.5775853060486,sul1,sulfonamide,k141_614511,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_742860_1,AT3,0.629435853253756,APH(3')-Ia,aminoglycoside,k141_742860,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_316446_1,AT3,0.303764607516612,tet(A),tetracycline,k141_316446,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_880669_3,AT4,0.480867022440706,mph(A),macrolide-lincosamide-streptogramin,k141_880669,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_278991_1,AT4,3.12828101738664,aadA2,aminoglycoside,k141_278991,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_401194_1,ODP2,0.365692526514446,sul1,sulfonamide,k141_401194,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic target replacement
k141_336065_1,ODP3,0.511151627560495,cmx,chloramphenicol,k141_336065,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic efflux
k141_728258_1,ODP3,0.425666096896814,qacEdelta1,multidrug,k141_728258,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic efflux
k141_728258_2,ODP3,0.717423879222806,sul1,sulfonamide,k141_728258,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic target replacement
k141_505963_1,ODP4,0.401279023793239,aadA2,aminoglycoside,k141_505963,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic inactivation
k141_505963_2,ODP4,0.211773719325587,qacEdelta1,multidrug,k141_505963,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic efflux
k141_505963_3,ODP4,0.924124298059246,sul1,sulfonamide,k141_505963,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic target replacement
k141_409432_1,ODP5,0.633526474261992,cmx,chloramphenicol,k141_409432,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic efflux
k141_497155_4,ARP1,0.870260396955078,tet(C),tetracycline,k141_497155,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_177041_3,ARP1,0.481069557469973,MuxC,multidrug,k141_177041,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_185121_1,ARP1,0.997376405422857,tetX2,tetracycline,k141_185121,Bacteria,Bacteroidota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_90502_2,ARP1,0.506742440536094,tet(A),tetracycline,k141_90502,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_26526_1,ARP1,0.929912095844005,APH(3')-Ia,aminoglycoside,k141_26526,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_63769_1,ARP1,0.553688579256611,tetA(P),tetracycline,k141_63769,Bacteria,Bacillota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_263951_1,ARP1,0.809440833581575,tet(G),tetracycline,k141_263951,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_230597_2,ARP1,0.56880034297514,tet(W),tetracycline,k141_230597,Bacteria,Bacillota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target protection
k141_239448_1,ARP2,1.61674877422324,aadA,aminoglycoside,k141_239448,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_526922_3,ARP2,0.598943347772412,tet(C),tetracycline,k141_526922,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_207691_1,ARP2,0.72566650965814,tetX2,tetracycline,k141_207691,Bacteria,Bacteroidota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_330292_1,ARP2,0.586508116254083,tet(A),tetracycline,k141_330292,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_523870_1,ARP3,0.590352365420792,tet(C),tetracycline,k141_523870,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_334018_1,ARP3,0.863985083512326,AAC(6')-Ib7,aminoglycoside,k141_334018,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_571684_3,ARP4,0.697021739252785,tet(C),tetracycline,k141_571684,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_541012_1,ARP5,0.614918262446421,tet(32),tetracycline,k141_541012,Bacteria,Bacillota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target protection
k141_109383_1,ARP5,0.655099008347901,APH(3')-Ia,aminoglycoside,k141_109383,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_390849_2,AT1,0.797856096332259,AAC(6')-IIa,aminoglycoside,k141_390849,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_985172_1,AT1,0.733318723969005,aadS,aminoglycoside,k141_985172,Bacteria,Bacteroidota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_597378_3,AT1,1.79886698782489,tet(C),tetracycline,k141_597378,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_736688_1,AT1,0.444793045834076,tet(A),tetracycline,k141_736688,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_871555_1,AT1,0.111593200025727,MexD,multidrug,k141_871555,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_225358_1,AT1,0.664114260314073,MuxC,multidrug,k141_225358,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_882884_1,AT1,3.00725069856626,tetX2,tetracycline,k141_882884,Bacteria,Bacteroidota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_891063_1,AT1,3.73220554587337,sul2,sulfonamide,k141_891063,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_236572_3,AT2,1.5066845344028,tet(C),tetracycline,k141_236572,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_192972_1,AT2,0.329206151517059,smeE,multidrug,k141_192972,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_183802_1,AT3,2.67948842708156,aadA,aminoglycoside,k141_183802,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_77012_2,AT3,1.46132992002663,tet(G),tetracycline,k141_77012,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_77012_5,AT3,1.05473893616637,floR,florfenicol,k141_77012,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_77012_6,AT3,0.787917628385045,sul1,sulfonamide,k141_77012,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_902124_3,AT3,1.53428048517105,tet(C),tetracycline,k141_902124,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_479883_1,AT3,2.33576631754999,tetX2,tetracycline,k141_479883,Bacteria,Bacteroidota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_19308_2,AT4,0.357317918982986,tet(A),tetracycline,k141_19308,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_771047_2,AT4,0.519772439895225,MuxC,multidrug,k141_771047,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_788652_7,AT4,4.37417307859937,sul2,sulfonamide,k141_788652,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_668262_3,AT4,0.641598975850215,ugd,polymyxin,k141_668262,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target alteration
k141_548476_3,AT4,1.78001102759498,tet(C),tetracycline,k141_548476,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_403633_3,AT5,1.6955908776631,tet(C),tetracycline,k141_403633,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_882324_1,AT5,11.0257597761582,sul1,sulfonamide,k141_882324,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_384292_1,AT5,0.385805324395862,APH(3')-Ia,aminoglycoside,k141_384292,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_55118_2,AT5,1.64791929567495,tet(G),tetracycline,k141_55118,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_55118_5,AT5,0.773079140193527,floR,florfenicol,k141_55118,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_55118_6,AT5,0.971225767057772,sul1,sulfonamide,k141_55118,Bacteria,Pseudomonadota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_498071_1,ARP1,2.07243593466461,AAC(6')-Ib7,aminoglycoside,k141_498071,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_44833_1,ARP1,0.571428038065437,QnrS2,quinolone,k141_44833,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target protection
k141_588741_1,ARP2,0.804260546390789,tet(G),tetracycline,k141_588741,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_66633_1,ARP2,0.367228223617387,RbpA,rifamycin,k141_66633,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target protection
k141_274779_1,ARP2,0.591746469244849,AAC(6')-Ib8,aminoglycoside,k141_274779,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_274779_2,ARP2,0.751136712572095,ere(A),macrolide-lincosamide-streptogramin,k141_274779,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_704806_1,ARP2,0.596966080364449,tet(33),tetracycline,k141_704806,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_676386_3,ARP3,0.595927350093389,tet(G),tetracycline,k141_676386,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_336951_1,ARP3,0.339358853178999,APH(3')-Ia,aminoglycoside,k141_336951,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_341060_1,ARP3,2.34074167311074,aadA,aminoglycoside,k141_341060,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_715430_1,ARP3,0.354635044732531,aadA,aminoglycoside,k141_715430,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_489310_1,ARP4,6.18634282884175,qacEdelta1,multidrug,k141_489310,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_489310_2,ARP4,11.3815306628716,sul1,sulfonamide,k141_489310,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target replacement
k141_537311_1,ARP4,0.841826899333096,aadA,aminoglycoside,k141_537311,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_189205_1,ARP4,0.46100998424732,mef(B),macrolide-lincosamide-streptogramin,k141_189205,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_246565_2,ARP4,0.59158748533794,floR,florfenicol,k141_246565,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_202188_2,ARP5,1.68868012347807,VEB-3,beta_lactam,k141_202188,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_55961_1,ARP5,0.421070766065021,tetB(48),tetracycline,k141_55961,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_254450_1,ARP5,0.446636524661012,sul1,sulfonamide,k141_254450,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target replacement
k141_254450_2,ARP5,0.531908065924055,floR,florfenicol,k141_254450,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_337290_1,ARP5,0.481771121650426,mef(B),macrolide-lincosamide-streptogramin,k141_337290,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_923174_1,AT1,1.2699460128826,lnu(H),macrolide-lincosamide-streptogramin,k141_923174,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_923174_2,AT1,2.34477232592143,VEB-3,beta_lactam,k141_923174,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_553473_3,AT1,0.414448933380975,tet(33),tetracycline,k141_553473,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_747673_1,AT1,0.341291074525363,tet(E),tetracycline,k141_747673,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_257316_1,AT1,0.392043687558046,sdeY,multidrug,k141_257316,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_754498_1,AT2,0.313048851585621,ANT(2'')-Ia,aminoglycoside,k141_754498,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_754498_2,AT2,2.42908642056366,VEB-1b,beta_lactam,k141_754498,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_313559_1,AT2,0.672928700029644,sul1,sulfonamide,k141_313559,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_313559_2,AT2,0.953206109457733,floR,florfenicol,k141_313559,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_313559_5,AT2,1.17127838031539,tet(G),tetracycline,k141_313559,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_205284_2,AT2,0.545096767334929,oqxB,multidrug,k141_205284,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_821718_1,AT2,0.91258443848181,bacA,bacitracin,k141_821718,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target alteration
k141_603458_1,AT3,0.227293179310482,arr-2,rifamycin,k141_603458,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_603458_2,AT3,0.195880210823338,dfrA14,trimethoprim,k141_603458,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_846549_1,AT3,0.246125502955181,floR,florfenicol,k141_846549,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_846549_2,AT3,0.261351088829349,floR,florfenicol,k141_846549,Bacteria,Pseudomonadota,Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_302027_1,AT3,1.7088122433812,VEB-3,beta_lactam,k141_302027,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_501937_1,AT4,0.44945887497426,tet(33),tetracycline,k141_501937,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_459432_1,AT4,1.813346810124,VEB-3,beta_lactam,k141_459432,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_838210_1,AT4,1.02465697494542,oqxB,multidrug,k141_838210,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_151964_1,AT4,9.75101988972837,sul1,sulfonamide,k141_151964,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_569600_1,AT5,0.390002309081261,tet(33),tetracycline,k141_569600,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_574052_1,AT5,4.8249007310962,qacEdelta1,multidrug,k141_574052,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_574052_2,AT5,2.20063407798066,ere(A),macrolide-lincosamide-streptogramin,k141_574052,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_293798_1,AT5,0.331561790146553,tet(S),tetracycline,k141_293798,Bacteria,Bacillota,Bacilli,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target protection
k141_813258_1,AT5,2.16617891860873,VEB-9,beta_lactam,k141_813258,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_645934_2,AT5,0.397879587032908,rphB,rifamycin,k141_645934,Bacteria,Actinomycetota,Actinomycetes,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_490042_3,AT5,0.961227334859078,oqxB,multidrug,k141_490042,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_212609_1,AT5,0.264618524700172,ugd,polymyxin,k141_212609,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target alteration
k141_661894_1,ODP4,0.303124943296164,APH(3'')-Ib,aminoglycoside,k141_661894,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic inactivation
k141_838814_2,ODP5,0.631444690426183,sul1,sulfonamide,k141_838814,Bacteria,Pseudomonadota,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,ODP,Antibiotic target replacement
k141_203892_1,ARP1,0.432180333874256,erm(B),macrolide-lincosamide-streptogramin,k141_203892,Bacteria,Bacillota,Bacilli,Lactobacillales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target alteration
k141_251984_1,ARP1,0.42352202821274,tet(36),tetracycline,k141_251984,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target protection
k141_395835_1,ARP1,0.576703563840592,sdeY,multidrug,k141_395835,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_712811_1,ARP2,1.11073699462511,aadS,aminoglycoside,k141_712811,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_748936_1,ARP3,0.37522030886079,erm(B),macrolide-lincosamide-streptogramin,k141_748936,Bacteria,Bacillota,Bacilli,Lactobacillales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target alteration
k141_749410_2,ARP3,0.733486429136657,tet(L),tetracycline,k141_749410,Bacteria,Bacillota,Bacilli,Bacillales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_774678_1,ARP3,1.11507945896366,aadS,aminoglycoside,k141_774678,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_495461_1,ARP4,0.444876994203941,tet(Q),tetracycline,k141_495461,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target protection
k141_186493_1,ARP4,0.640200137455408,catB8,chloramphenicol,k141_186493,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_30309_1,ARP5,0.600083422180033,tet(Q),tetracycline,k141_30309,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target protection
k141_237641_1,AT1,0.309647874805506,MuxB,multidrug,k141_237641,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
k141_64597_1,AT1,0.40006274476024,mexW,multidrug,k141_64597,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Unclassified,Unclassified,Unclassified,AT,Antibiotic efflux
