BacMet_ID	Gene_name	Accession	Organism	Location	Compound
BAC0473	adeC	Q93E18	Acinetobacter baumanni	Chromosome	Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0474	adeD	Q67GM1	Acinetobacter sp. 4365	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0013	adeE	Q8GKU1	Acinetobacter  sp. 4356	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]
BAC0014	adeF	Q2FD82	Acinetobacter baumanni	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]
BAC0015	adeG	Q2FD81	Acinetobacter baumannii (strain AB0057)	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]
BAC0016	adeH	Q2FD80	Acinetobacter baumannii (strain AB0057)	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]
BAC0017	adeI	Q2FD95	Acinetobacter baumannii (strain AB0057)	Chromosome	Acridine Orange [class: Acridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Crystal Violet [class: Triarylmethane], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Rhodamine 123 [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Synergize [class: QAC-Glutaraldehyde], Virkon S [class: Peroxysulfate], Wex-cide-128 [class: Phenyl]
BAC0018	adeJ	Q24LT7	Acinetobacter baumannii (strain AB0057)	Chromosome	Acridine Orange [class: Acridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0019	adeK	Q24LT6	Acinetobacter baumannii (strain AB0057)	Chromosome	Acridine Orange [class: Acridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0508	adeL	A3M732	Acinetobacter baumanni	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]
BAC0496	adeN	B7H1T7	Acinetobacter baumanni	Chromosome	Safranin O [class: Azin], Acridine Orange [class: Acridine], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0478	adeT1	C7F8K6	Acinetobacter baumanni AC0037	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Rhodamine 123 [class: Xanthene], Methyl Viologen [class: Paraquat], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0479	adeT2	C7F8K7	Acinetobacter baumanni	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Rhodamine 123 [class: Xanthene], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Crystal Violet [class: Triarylmethane], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0020	aioA/aoxB	Q8GGJ6	Herminiimonas arsenicoxydans	Chromosome	Arsenic (As)
BAC0021	aioB/aoxA	Q8GGJ7	Herminiimonas arsenicoxydans	Chromosome	Arsenic (As)
BAC0715	aioE	W1L7N4	Argobacterium tumefaciens GW4 	Chromosome	Arsenic (As)
BAC0022	aioR/aoxR	Q2VGB1	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	Chromosome	Arsenic (As)
BAC0023	aioS/aoxS	Q2VGB2	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	Chromosome	Arsenic (As)
BAC0024	aioX/aoxX	G8XNW6	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	Chromosome	Arsenic (As)
BAC0489	ALU1-P	O52119	Arthrobacter viscosus ALRJJ6	Chromosome	Aluminium (Al)
BAC0025	amvA	C4PAW9	Acinetobacter baumannii	Chromosome	Acriflavine [class: Acridine], Chlorhexidine [class: Biguanides], Methyl Viologen [class: Paraquat], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Sodium Deoxycholate (SDC) [class: Acid]
BAC0709	arrA	Q7WTU0	Shewanella sp. strain ANA-3	Chromosome	Arsenic (As)
BAC0710	arrB	AAQ01673	Shewanella sp. strain ANA-3	Chromosome	Arsenic (As)
BAC0030	arsA	P52145	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb)
BAC0571	arsA	O50593	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	Plasmid pKW301	Arsenic (As), Antimony (Sb)
BAC0572	arsA	P08690	Escherichia coli	Plasmid R773	Arsenic (As), Antimony (Sb)
BAC0031	arsB	P08691	Escherichia coli	Plasmid R773 (E. coli), Plasmid IncN R46 (E. coli), Plasmid R46 (Salmonella typhimurium)	Arsenic (As), Antimony (Sb)
BAC0573	arsB	P45946	Bacillus subtilis (strain 168)	Chromosome	Arsenic (As)
BAC0574	arsB	P30329	Staphylococcus aureus	Plasmid pI258	Arsenic (As), Antimony (Sb)
BAC0575	arsB	Q01255	Staphylococcus xylosus	Plasmid pSX267	Arsenic (As), Antimony (Sb)
BAC0576	arsB	P52146	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb)
BAC0577	arsB	P74985	Yersinia enterocolitica	Plasmid pYV	Arsenic (As)
BAC0578	arsB	O50594	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	Plasmid pKW301	Arsenic (As), Antimony (Sb)
BAC0579	arsB	P74311	Synechocystis sp. PCC 6803	Chromosome	Arsenic (As), Antimony (Sb)
BAC0032	arsC	P0A006	Staphylococcus aureus	Plasmid pI258	Arsenic (As)
BAC0580	arsC	Q01257	Staphylococcus xylosus	Plasmid pSX267	Arsenic (As)
BAC0581	arsC	P45947	Bacillus subtilis (strain 168)	Chromosome	Arsenic (As)
BAC0582	arsC	P08692	Escherichia coli	Plasmid R773	Arsenic (As), Antimony (Sb)
BAC0583	arsC	P52147	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb)
BAC0584	arsC	O50595	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	Plasmid pKW301	Arsenic (As), Antimony (Sb)
BAC0585	arsC	P74984	Yersinia enterocolitica	Plasmid pYV	Arsenic (As), Antimony (Sb)
BAC0586	arsC	P74313	Synechocystis sp. PCC 6803	Chromosome	Arsenic (As)
BAC0033	arsD	P46003	Escherichia coli	Plasmid R773 (E. coli), Plasmid R64 (Salmonella typhimurium)	Arsenic (As)
BAC0587	arsD	P52148	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb)
BAC0034	arsH	E8PS81	Yersinia pestis Java 9	Plasmid pKPN-IT (Klebsiella pneumoniae), Plasmid R485 (Morganella morganii (Proteus morganii))	Arsenic (As)
BAC0595	arsH	P74312	Synechocystis sp. PCC 6803	Chromosome	Arsenic (As), Menadione [class: Naphthoquinone]
BAC0035	arsM	Q6N3Y0	Rhodopseudomonas palustris CGA009	Chromosome	Arsenic (As)
BAC0036	arsP	B5LWZ8	Campylobacter jejuni	Chromosome	Arsenic (As)
BAC0588	arsR	P74986	Yersinia enterocolitica	Plasmid pYV	Arsenic (As)
BAC0589	arsR	P15905	Escherichia coli	Plasmid R773	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0590	arsR	P30338	Staphylococcus aureus	Plasmid pI258	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0591	arsR	P52144	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0592	arsR	Q01256	Staphylococcus xylosus	Plasmid pSX267	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0593	arsR	P45949	Bacillus subtilis (strain 168)	Chromosome	Arsenic (As)
BAC0594	arsR	P37309	Escherichia coli (strain K12)	Chromosome	Arsenic (As)
BAC0714	arsT	B7FB00	Microbacterium sp. A33	Chromosome	Arsenic (As)
BAC0038	asr	P36560	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0039	baeR	P69228	Escherichia coli (strain K12)	Chromosome	Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]
BAC0596	baeR	D0ZNE3	Salmonella Typhimurium	Chromosome	Copper (Cu), Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]
BAC0040	baeS	P30847	Escherichia coli (strain K12)	Chromosome	Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]
BAC0597	baeS	D0ZNE2	Salmonella Typhimurium	Chromosome	Copper (Cu), Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]
BAC0041	bcr	P28246	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine]
BAC0704	bcrA	I7B1B9	Listeria monocytogenes	Plasmid	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0705	bcrB	I7A797	Listeria monocytogenes	Plasmid	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0706	bcrC	I6ZWM1	Listeria monocytogenes	Plasmid	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0042	bepC	Q8G0Y6	Brucella suis biovar 1 (strain 1330)	Chromosome	Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Crystal Violet [class: Triarylmethane],  Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0043	bepD	Q8G2M7	Brucella suis biovar 1 (strain 1330)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane]
BAC0044	bepE	Q8G2M6	Brucella suis biovar 1 (strain 1330)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane]
BAC0045	bepF	Q8FWV8	Brucella suis biovar 1 (strain 1330)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0046	bepG	Q8FWV9	Brucella suis biovar 1 (strain 1330)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0047	bexA	Q93HR0	Bacteroides thetaiotaomicron	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0048	bfrA	P63697	Mycobacterium tuberculosis	Chromosome	Iron (Fe)
BAC0049	bhsA/ycfR/comC	P0AB40	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0050	blt	P39843	Bacillus subtilis (strain 168)	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0051	bltD	P39909	Bacillus subtilis (strain 168)	Chromosome	Spermidine [class: Polyamines], Spermine [class: Polyamines]
BAC0052	bltR	P39842	Bacillus subtilis (strain 168)	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine]
BAC0053	bmr	P33449	Bacillus subtilis (strain 168)	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]
BAC0054	bmrR	P39075	Bacillus subtilis (strain 168)	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine]
BAC0055	cadA/yvgW	Q59465	Helicobacter pylori (strain ATCC 700392/26695)(Campylobacter pylori)	Plasmids pI258 (S. aureus), Chromosome	Cadmium (Cd), Zinc (Zn)
BAC0056	cadC	P20047	Staphylococcus aureus	Plasmid pI258 (Staphylococcus aureus)	Cadmium (Cd), Bismuth (Bi), Zinc (Zn), Lead (Pb)
BAC0057	cadD	Q7A320	Staphylococcus aureus (strain N315)	Plasmid pN315 (Staphylococcus aureus (strain N315)),  Plasmid pLUH02 (Staphylococcus aureus (strain ECT-R 2) ), Chromosome	Cadmium (Cd), Zinc (Zn)
BAC0058	cadR	Q93TP7	Pseudomonas putida (Arthrobacter siderocapsulatus)	Plasmid pECd1 (uncultured bacterium), Chromosome	Cadmium (Cd)
BAC0059	cadX	A7LHQ4	Streptococcus salivarius	Plasmid pLUG10 (Staphylococcus lugdunensis)	Cadmium (Cd), Zinc (Zn)
BAC0060	cdeA	Q7WZ38	Clostridium difficile	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]
BAC0061	cepA	Q8RR17	Klebsiella pneumoniae	Chromosome	Chlorhexidine [class: Biguanides]
BAC0062	ceuE	D3UGE4	Psudomonas aeruginosa	Plasmid pUM505 (pseudomonas aeruginosa), Plasmid pB4 (uncultured bacterium), Plasmid pMOL28 (Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839))	Chromium (Cr)
BAC0063	chrA	P14285	Psudomonas aeruginosa	Plasmid pUM505  (pseudomonas aeruginosa)	Chromium (Cr)
BAC0026	chrA	A4UQR4	Ochrobactrum tritici	Chromosome (transposon TnOtChr)	Chromium (Cr)
BAC0548	chrA1	P17551	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0027	chrB	A4UQR5	Ochrobactrum tritici	Chromosome (transposon TnOtChr)	Chromium (Cr), Methyl Viologen [class: Paraquat], Menadione [class: Naphthoquinone]
BAC0064	chrB1	P17552	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0547	chrC	P17550	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0028	chrC	A4UQR3	Ochrobactrum tritici	Chromosome (transposon TnOtChr)	Chromium (Cr), Methyl Viologen [class: Paraquat], Menadione [class: Naphthoquinone]
BAC0065	chrE	Q5NUZ8	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0066	chrF	Q5NUZ7	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0029	chrF	A4UQR2	Ochrobactrum tritici	Chromosome (transposon TnOtChr)	Chromium (Cr), Methyl Viologen [class: Paraquat], Menadione [class: Naphthoquinone]
BAC0361	chrI	Q1L9W3	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0538	chrR	Q7BD45	Pseudomonas putida	Chromosome	Chromium (Cr), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides], 2,6-dichloroindophenol [class: Phenolic Compounds]
BAC0539	chrR	P96977	Pseudomonas sp. (strain G-1)	Chromosome	Chromium (Cr)
BAC0707	chtR	ZP_06677963	Enterococcus faecium	Chromosome	Chlorhexidine [class: Biguanides]
BAC0708	chtS	ZP_06677962	Enterococcus faecium	Chromosome	Chlorhexidine [class: Biguanides]
BAC0067	cinA	Q9I036	Pseudomonas aeruginosa PAO1	Chromosome	Copper (Cu)
BAC0068	cmeA	Q8RTE5	Campylobacter jejuni	Chromosome	Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]
BAC0613	cmeB	Q8RTE4	Campylobacter jejuni	Chromosome	Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Acridine orange [class: Acridine]
BAC0614	cmeC	Q8RTE3	Campylobacter jejuni	Chromosome	Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]  
BAC0615	cmeD	Q0P9M1	Campylobacter jejuni	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]
BAC0616	cmeE	Q0P9M0	Campylobacter jejuni	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]
BAC0069	cmeF	Q0P9L9	Campylobacter jejuni	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]
BAC0070	cmeR	Q7B8P6	Campylobacter jejuni 81-176	Chromosome	Sodium Cholate [class: Acid]
BAC0071	cmtR	P67731	Mycobacterium tuberculosis	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0203	cnrA	P37972	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839))	Cobalt (Co), Nickel (Ni)
BAC0542	cnrA	B0B0H8	Bradyrhizobium sp. STM 2465	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0543	cnrA	A9DF56	Bradyrhizobium sp. STM 2464	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0544	cnrA	A9DF42	Bradyrhizobium sp. STM 2457	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0545	cnrA	A9DF51	Bradyrhizobium sp. STM 2460	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0546	cnrA	A9DF47	Bradyrhizobium sp. STM 2458	Chromosome	Cobalt (Co), Nickel (Ni)
